,basin,date,well_ID,D,T,EC,pH,TH,TDS,Cl,NH4,NO3,SO4,TOC,As,Fe,Mn,X,Y,year,,,,,,
0,Jianan,11/19/2001,4203,3.64,21.5,867,6.8,354,491,33.4,1.85,0.19,108,3.1,0.01,2.58,0.743,120.323062,22.589542,2001,,,,,,
1,Jianan,8/6/2001,4203,3.605,30,842,7.1,349,561,38.8,2.13,13.4,99.8,3.1,0.01,2.58,0.565,120.323062,22.589542,2001,,,,,,
2,Jianan,7/3/2001,4203,3.63,30.1,1070,6.9,372,650,51.7,0.53,0.11,116,3.1,0.01,1.78,0.882,120.323062,22.589542,2001,,,,,,
3,Jianan,4/9/2001,4203,3.874,30,760,7,349,561,39.2,4.58,0.18,118,3.08,0.01,2.58,0.565,120.323062,22.589542,2001,,,,,,
4,Jianan,11/21/2000,4203,4.183,26.5,986,7.1,360,588,48.9,1.86,0.15,120,1,0.0031,4.02,0.14,120.323062,22.589542,2000,,,,,,
5,Jianan,3/29/2000,4203,4.045,29.4,1210,6.9,495,625,80.1,2.05,0.17,142,4.7,0.0032,4.74,0.12,120.323062,22.589542,2000,,,,,, 
6,Jianan,11/16/2006,4203,4.023,28.9,918,6.9,353,549,40.7,2.39,0.01,93.1,2.47,0.0032,1.73,0.238,120.323062,22.589542,2006,,,,,,
7,Jianan,8/12/2006,4203,3.634,28.4,902,7.1,362,633,45,1.91,0.86,115,2.18,0.0032,2.61,0.547,120.323062,22.589542,2006,,,,,,
8,Jianan,5/8/2006,4203,4.183,28.6,922,7.1,364,634,40.7,2.44,0.03,108,2.87,0.0031,1.81,0.279,120.323062,22.589542,2006,,,,,,
9,Jianan,2/19/2006,4203,4.137,28.1,908,7,368,547,76.6,2.5,0.01,119,2.28,0.0029,2.14,0.333,120.323062,22.589542,2006,,,,,,
10,Jianan,11/12/2005,4203,4.192,28.5,921,6.9,376,596,42.3,2.33,0.02,124,2.67,0.0035,3.45,0.455,120.323062,22.589542,2005,,,,,,
